txName: T4tbWoff
conditionDescription: not yet assigned
condition: not yet assigned
constraint: not yet assigned
figureUrl: https://twiki.cern.ch/twiki/pub/CMSPublic/PhysicsResultsSUS14011/T2tbHybridNew0Lp1Lp2LXSEC.pdf
validated: None
axes: Eq(mother,x)_Eq(inter0,y+5.0)_Eq(lsp,y)+Eq(mother,x)_Eq(lsp,y)
publishedData: True
upperLimits: [[[[100.0*GeV, 5.0*GeV, 0.0*GeV], [100.0*GeV, 0.0*GeV]], 164.008232158*pb],
[[[825.0*GeV, 380.0*GeV, 375.0*GeV], [825.0*GeV, 375.0*GeV]], 0.0111036721919*pb],
[[[825.0*GeV, 405.0*GeV, 400.0*GeV], [825.0*GeV, 400.0*GeV]], 0.0130326711635*pb],
[[[825.0*GeV, 430.0*GeV, 425.0*GeV], [825.0*GeV, 425.0*GeV]], 0.0153579629261*pb],
[[[825.0*GeV, 455.0*GeV, 450.0*GeV], [825.0*GeV, 450.0*GeV]], 0.0182614766253*pb],
[[[825.0*GeV, 480.0*GeV, 475.0*GeV], [825.0*GeV, 475.0*GeV]], 0.0225531890348*pb],
[[[825.0*GeV, 505.0*GeV, 500.0*GeV], [825.0*GeV, 500.0*GeV]], 0.0279250261637*pb],
[[[825.0*GeV, 530.0*GeV, 525.0*GeV], [825.0*GeV, 525.0*GeV]], 0.0341306172888*pb],
[[[825.0*GeV, 555.0*GeV, 550.0*GeV], [825.0*GeV, 550.0*GeV]], 0.0405353323566*pb],
[[[825.0*GeV, 580.0*GeV, 575.0*GeV], [825.0*GeV, 575.0*GeV]], 0.0446577420743*pb],
[[[825.0*GeV, 605.0*GeV, 600.0*GeV], [825.0*GeV, 600.0*GeV]], 0.0481338085775*pb],
[[[825.0*GeV, 630.0*GeV, 625.0*GeV], [825.0*GeV, 625.0*GeV]], 0.0518054360941*pb],
[[[825.0*GeV, 655.0*GeV, 650.0*GeV], [825.0*GeV, 650.0*GeV]], 0.0561249914765*pb],
[[[825.0*GeV, 680.0*GeV, 675.0*GeV], [825.0*GeV, 675.0*GeV]], 0.061386783362*pb],
[[[825.0*GeV, 705.0*GeV, 700.0*GeV], [825.0*GeV, 700.0*GeV]], 0.067654787242*pb],
[[[850.0*GeV, 5.0*GeV, 0.0*GeV], [850.0*GeV, 0.0*GeV]], 0.00632882289738*pb],
[[[850.0*GeV, 30.0*GeV, 25.0*GeV], [850.0*GeV, 25.0*GeV]], 0.00639319101609*pb],
[[[850.0*GeV, 55.0*GeV, 50.0*GeV], [850.0*GeV, 50.0*GeV]], 0.00634513671644*pb],
[[[850.0*GeV, 80.0*GeV, 75.0*GeV], [850.0*GeV, 75.0*GeV]], 0.0064904475162*pb],
[[[850.0*GeV, 105.0*GeV, 100.0*GeV], [850.0*GeV, 100.0*GeV]], 0.00657412506434*pb],
[[[850.0*GeV, 130.0*GeV, 125.0*GeV], [850.0*GeV, 125.0*GeV]], 0.00665496722629*pb],
[[[850.0*GeV, 155.0*GeV, 150.0*GeV], [850.0*GeV, 150.0*GeV]], 0.00673269497692*pb],
[[[850.0*GeV, 180.0*GeV, 175.0*GeV], [850.0*GeV, 175.0*GeV]], 0.00677997977184*pb],
[[[850.0*GeV, 205.0*GeV, 200.0*GeV], [850.0*GeV, 200.0*GeV]], 0.00684698256297*pb],
[[[850.0*GeV, 230.0*GeV, 225.0*GeV], [850.0*GeV, 225.0*GeV]], 0.00697845179364*pb],
[[[850.0*GeV, 255.0*GeV, 250.0*GeV], [850.0*GeV, 250.0*GeV]], 0.00718955186689*pb],
[[[850.0*GeV, 280.0*GeV, 275.0*GeV], [850.0*GeV, 275.0*GeV]], 0.00729787310137*pb],
[[[850.0*GeV, 305.0*GeV, 300.0*GeV], [850.0*GeV, 300.0*GeV]], 0.00752791558301*pb],
[[[850.0*GeV, 330.0*GeV, 325.0*GeV], [850.0*GeV, 325.0*GeV]], 0.00795385904264*pb],
[[[850.0*GeV, 355.0*GeV, 350.0*GeV], [850.0*GeV, 350.0*GeV]], 0.00869211860626*pb],
[[[850.0*GeV, 380.0*GeV, 375.0*GeV], [850.0*GeV, 375.0*GeV]], 0.00964769690949*pb],
[[[850.0*GeV, 405.0*GeV, 400.0*GeV], [850.0*GeV, 400.0*GeV]], 0.0110218344385*pb],
[[[850.0*GeV, 430.0*GeV, 425.0*GeV], [850.0*GeV, 425.0*GeV]], 0.0128087377736*pb],
[[[850.0*GeV, 455.0*GeV, 450.0*GeV], [850.0*GeV, 450.0*GeV]], 0.0151338607948*pb],
[[[850.0*GeV, 480.0*GeV, 475.0*GeV], [850.0*GeV, 475.0*GeV]], 0.0181208190216*pb],
[[[850.0*GeV, 505.0*GeV, 500.0*GeV], [850.0*GeV, 500.0*GeV]], 0.0218361978749*pb],
[[[850.0*GeV, 530.0*GeV, 525.0*GeV], [850.0*GeV, 525.0*GeV]], 0.0260907607334*pb],
[[[850.0*GeV, 555.0*GeV, 550.0*GeV], [850.0*GeV, 550.0*GeV]], 0.030423383056*pb],
[[[850.0*GeV, 580.0*GeV, 575.0*GeV], [850.0*GeV, 575.0*GeV]], 0.0338154199273*pb],
[[[850.0*GeV, 605.0*GeV, 600.0*GeV], [850.0*GeV, 600.0*GeV]], 0.0367718139697*pb],
[[[850.0*GeV, 630.0*GeV, 625.0*GeV], [850.0*GeV, 625.0*GeV]], 0.0397840157948*pb],
[[[850.0*GeV, 655.0*GeV, 650.0*GeV], [850.0*GeV, 650.0*GeV]], 0.0433492076451*pb],
[[[850.0*GeV, 680.0*GeV, 675.0*GeV], [850.0*GeV, 675.0*GeV]], 0.0479190450629*pb],
[[[850.0*GeV, 705.0*GeV, 700.0*GeV], [850.0*GeV, 700.0*GeV]], 0.0534967888014*pb],
[[[875.0*GeV, 5.0*GeV, 0.0*GeV], [875.0*GeV, 0.0*GeV]], 0.00593399581788*pb],
[[[875.0*GeV, 30.0*GeV, 25.0*GeV], [875.0*GeV, 25.0*GeV]], 0.00593255086812*pb],
[[[875.0*GeV, 55.0*GeV, 50.0*GeV], [875.0*GeV, 50.0*GeV]], 0.00616122290781*pb],
[[[875.0*GeV, 80.0*GeV, 75.0*GeV], [875.0*GeV, 75.0*GeV]], 0.00618359162069*pb],
[[[875.0*GeV, 105.0*GeV, 100.0*GeV], [875.0*GeV, 100.0*GeV]], 0.0062756060389*pb],
[[[875.0*GeV, 130.0*GeV, 125.0*GeV], [875.0*GeV, 125.0*GeV]], 0.00641751738735*pb],
[[[875.0*GeV, 155.0*GeV, 150.0*GeV], [875.0*GeV, 150.0*GeV]], 0.0065667564237*pb],
[[[875.0*GeV, 180.0*GeV, 175.0*GeV], [875.0*GeV, 175.0*GeV]], 0.00658451854192*pb],
[[[875.0*GeV, 205.0*GeV, 200.0*GeV], [875.0*GeV, 200.0*GeV]], 0.0066308987545*pb],
[[[875.0*GeV, 230.0*GeV, 225.0*GeV], [875.0*GeV, 225.0*GeV]], 0.00676553775274*pb],
[[[875.0*GeV, 255.0*GeV, 250.0*GeV], [875.0*GeV, 250.0*GeV]], 0.00694731653613*pb],
[[[875.0*GeV, 280.0*GeV, 275.0*GeV], [875.0*GeV, 275.0*GeV]], 0.00694784585039*pb],
[[[875.0*GeV, 305.0*GeV, 300.0*GeV], [875.0*GeV, 300.0*GeV]], 0.00701354257571*pb],
[[[875.0*GeV, 330.0*GeV, 325.0*GeV], [875.0*GeV, 325.0*GeV]], 0.00723300781758*pb],
[[[875.0*GeV, 355.0*GeV, 350.0*GeV], [875.0*GeV, 350.0*GeV]], 0.00767900438651*pb],
[[[875.0*GeV, 380.0*GeV, 375.0*GeV], [875.0*GeV, 375.0*GeV]], 0.00845645655347*pb],
[[[875.0*GeV, 405.0*GeV, 400.0*GeV], [875.0*GeV, 400.0*GeV]], 0.00954201832692*pb],
[[[875.0*GeV, 430.0*GeV, 425.0*GeV], [875.0*GeV, 425.0*GeV]], 0.0109262314235*pb],
[[[875.0*GeV, 455.0*GeV, 450.0*GeV], [875.0*GeV, 450.0*GeV]], 0.0126807364829*pb],
[[[875.0*GeV, 480.0*GeV, 475.0*GeV], [875.0*GeV, 475.0*GeV]], 0.0148604783919*pb],
[[[875.0*GeV, 505.0*GeV, 500.0*GeV], [875.0*GeV, 500.0*GeV]], 0.0174539223769*pb],
[[[875.0*GeV, 530.0*GeV, 525.0*GeV], [875.0*GeV, 525.0*GeV]], 0.0202959377074*pb],
[[[875.0*GeV, 555.0*GeV, 550.0*GeV], [875.0*GeV, 550.0*GeV]], 0.0232102917478*pb],
[[[875.0*GeV, 580.0*GeV, 575.0*GeV], [875.0*GeV, 575.0*GeV]], 0.0259175251965*pb],
[[[875.0*GeV, 605.0*GeV, 600.0*GeV], [875.0*GeV, 600.0*GeV]], 0.0284334415752*pb],
[[[875.0*GeV, 630.0*GeV, 625.0*GeV], [875.0*GeV, 625.0*GeV]], 0.0308234590186*pb],
[[[875.0*GeV, 655.0*GeV, 650.0*GeV], [875.0*GeV, 650.0*GeV]], 0.0336288838571*pb],
[[[875.0*GeV, 680.0*GeV, 675.0*GeV], [875.0*GeV, 675.0*GeV]], 0.0377597266448*pb],
[[[875.0*GeV, 705.0*GeV, 700.0*GeV], [875.0*GeV, 700.0*GeV]], 0.0428652098583*pb],
[[[900.0*GeV, 5.0*GeV, 0.0*GeV], [900.0*GeV, 0.0*GeV]], 0.00558785326471*pb],
[[[900.0*GeV, 30.0*GeV, 25.0*GeV], [900.0*GeV, 25.0*GeV]], 0.00556882745234*pb],
[[[900.0*GeV, 55.0*GeV, 50.0*GeV], [900.0*GeV, 50.0*GeV]], 0.00568747669722*pb],
[[[900.0*GeV, 80.0*GeV, 75.0*GeV], [900.0*GeV, 75.0*GeV]], 0.00582300731117*pb],
[[[900.0*GeV, 105.0*GeV, 100.0*GeV], [900.0*GeV, 100.0*GeV]], 0.00595370544806*pb],
[[[900.0*GeV, 130.0*GeV, 125.0*GeV], [900.0*GeV, 125.0*GeV]], 0.00612376851719*pb],
[[[900.0*GeV, 155.0*GeV, 150.0*GeV], [900.0*GeV, 150.0*GeV]], 0.00631297480244*pb],
[[[900.0*GeV, 180.0*GeV, 175.0*GeV], [900.0*GeV, 175.0*GeV]], 0.00630886726222*pb],
[[[900.0*GeV, 205.0*GeV, 200.0*GeV], [900.0*GeV, 200.0*GeV]], 0.00633835630483*pb],
[[[900.0*GeV, 230.0*GeV, 225.0*GeV], [900.0*GeV, 225.0*GeV]], 0.00644111507993*pb],
[[[900.0*GeV, 255.0*GeV, 250.0*GeV], [900.0*GeV, 250.0*GeV]], 0.00657463923606*pb],
[[[900.0*GeV, 280.0*GeV, 275.0*GeV], [900.0*GeV, 275.0*GeV]], 0.00653936578967*pb],
[[[900.0*GeV, 305.0*GeV, 300.0*GeV], [900.0*GeV, 300.0*GeV]], 0.00653911469373*pb],
[[[900.0*GeV, 330.0*GeV, 325.0*GeV], [900.0*GeV, 325.0*GeV]], 0.00662611779101*pb],
[[[900.0*GeV, 355.0*GeV, 350.0*GeV], [900.0*GeV, 350.0*GeV]], 0.00683569882795*pb],
[[[900.0*GeV, 380.0*GeV, 375.0*GeV], [900.0*GeV, 375.0*GeV]], 0.00754256604143*pb],
[[[900.0*GeV, 405.0*GeV, 400.0*GeV], [900.0*GeV, 400.0*GeV]], 0.00844073359849*pb],
[[[900.0*GeV, 430.0*GeV, 425.0*GeV], [900.0*GeV, 425.0*GeV]], 0.00951377709639*pb],
[[[900.0*GeV, 455.0*GeV, 450.0*GeV], [900.0*GeV, 450.0*GeV]], 0.0107853880212*pb],
[[[900.0*GeV, 480.0*GeV, 475.0*GeV], [900.0*GeV, 475.0*GeV]], 0.0124714014166*pb],
[[[900.0*GeV, 505.0*GeV, 500.0*GeV], [900.0*GeV, 500.0*GeV]], 0.0143564804751*pb],
[[[900.0*GeV, 530.0*GeV, 525.0*GeV], [900.0*GeV, 525.0*GeV]], 0.016301618752*pb],
[[[900.0*GeV, 555.0*GeV, 550.0*GeV], [900.0*GeV, 550.0*GeV]], 0.0181640429405*pb],
[[[900.0*GeV, 580.0*GeV, 575.0*GeV], [900.0*GeV, 575.0*GeV]], 0.0205162698817*pb],
[[[900.0*GeV, 605.0*GeV, 600.0*GeV], [900.0*GeV, 600.0*GeV]], 0.0226820902112*pb],
[[[900.0*GeV, 630.0*GeV, 625.0*GeV], [900.0*GeV, 625.0*GeV]], 0.024604921812*pb],
[[[900.0*GeV, 655.0*GeV, 650.0*GeV], [900.0*GeV, 650.0*GeV]], 0.0265154179799*pb],
[[[900.0*GeV, 680.0*GeV, 675.0*GeV], [900.0*GeV, 675.0*GeV]], 0.0305478541775*pb],
[[[900.0*GeV, 705.0*GeV, 700.0*GeV], [900.0*GeV, 700.0*GeV]], 0.0351453132465*pb]]
expectedUpperLimits: [[[[100.0*GeV, 5.0*GeV, 0.0*GeV], [100.0*GeV, 0.0*GeV]], 122.482068298*pb],
[[[125.0*GeV, 5.0*GeV, 0.0*GeV], [125.0*GeV, 0.0*GeV]], 104.027032924*pb],
[[[125.0*GeV, 30.0*GeV, 25.0*GeV], [125.0*GeV, 25.0*GeV]], 144.930562246*pb],
[[[150.0*GeV, 5.0*GeV, 0.0*GeV], [150.0*GeV, 0.0*GeV]], 76.5807994724*pb],
[[[150.0*GeV, 30.0*GeV, 25.0*GeV], [150.0*GeV, 25.0*GeV]], 123.452316911*pb],
[[[150.0*GeV, 55.0*GeV, 50.0*GeV], [150.0*GeV, 50.0*GeV]], 131.450869925*pb],
[[[175.0*GeV, 5.0*GeV, 0.0*GeV], [175.0*GeV, 0.0*GeV]], 42.871360878*pb],
[[[175.0*GeV, 30.0*GeV, 25.0*GeV], [175.0*GeV, 25.0*GeV]], 64.1371490576*pb],
[[[175.0*GeV, 55.0*GeV, 50.0*GeV], [175.0*GeV, 50.0*GeV]], 81.7676248933*pb],
[[[175.0*GeV, 80.0*GeV, 75.0*GeV], [175.0*GeV, 75.0*GeV]], 91.440810675*pb],
[[[200.0*GeV, 5.0*GeV, 0.0*GeV], [200.0*GeV, 0.0*GeV]], 20.1298872692*pb],
[[[200.0*GeV, 30.0*GeV, 25.0*GeV], [200.0*GeV, 25.0*GeV]], 28.7210468215*pb],
[[[200.0*GeV, 55.0*GeV, 50.0*GeV], [200.0*GeV, 50.0*GeV]], 44.3219956962*pb],
[[[200.0*GeV, 80.0*GeV, 75.0*GeV], [200.0*GeV, 75.0*GeV]], 54.8789419883*pb],
[[[200.0*GeV, 105.0*GeV, 100.0*GeV], [200.0*GeV, 100.0*GeV]], 61.8810957567*pb],
[[[225.0*GeV, 5.0*GeV, 0.0*GeV], [225.0*GeV, 0.0*GeV]], 8.90571160954*pb],
[[[225.0*GeV, 30.0*GeV, 25.0*GeV], [225.0*GeV, 25.0*GeV]], 11.9504317168*pb],
[[[225.0*GeV, 55.0*GeV, 50.0*GeV], [225.0*GeV, 50.0*GeV]], 20.0108792729*pb],
[[[225.0*GeV, 80.0*GeV, 75.0*GeV], [225.0*GeV, 75.0*GeV]], 29.3386547564*pb],
[[[225.0*GeV, 105.0*GeV, 100.0*GeV], [225.0*GeV, 100.0*GeV]], 35.0757479674*pb],
[[[225.0*GeV, 130.0*GeV, 125.0*GeV], [225.0*GeV, 125.0*GeV]], 42.2859388649*pb],
[[[250.0*GeV, 5.0*GeV, 0.0*GeV], [250.0*GeV, 0.0*GeV]], 3.95070325094*pb],
[[[250.0*GeV, 30.0*GeV, 25.0*GeV], [250.0*GeV, 25.0*GeV]], 5.29490964703*pb],
[[[250.0*GeV, 55.0*GeV, 50.0*GeV], [250.0*GeV, 50.0*GeV]], 8.38527615452*pb],
[[[250.0*GeV, 80.0*GeV, 75.0*GeV], [250.0*GeV, 75.0*GeV]], 13.5170119419*pb],
[[[250.0*GeV, 105.0*GeV, 100.0*GeV], [250.0*GeV, 100.0*GeV]], 17.2366080831*pb],
[[[250.0*GeV, 130.0*GeV, 125.0*GeV], [250.0*GeV, 125.0*GeV]], 23.8753086425*pb],
[[[250.0*GeV, 155.0*GeV, 150.0*GeV], [250.0*GeV, 150.0*GeV]], 32.6695994649*pb],
[[[275.0*GeV, 5.0*GeV, 0.0*GeV], [275.0*GeV, 0.0*GeV]], 1.75606781318*pb],
[[[275.0*GeV, 30.0*GeV, 25.0*GeV], [275.0*GeV, 25.0*GeV]], 2.1291899415*pb],
[[[275.0*GeV, 55.0*GeV, 50.0*GeV], [275.0*GeV, 50.0*GeV]], 3.64595526754*pb],
[[[275.0*GeV, 80.0*GeV, 75.0*GeV], [275.0*GeV, 75.0*GeV]], 5.71871355025*pb],
[[[275.0*GeV, 105.0*GeV, 100.0*GeV], [275.0*GeV, 100.0*GeV]], 8.43831756344*pb],
[[[275.0*GeV, 130.0*GeV, 125.0*GeV], [275.0*GeV, 125.0*GeV]], 12.3871935237*pb],
[[[275.0*GeV, 155.0*GeV, 150.0*GeV], [275.0*GeV, 150.0*GeV]], 18.1569182578*pb],
[[[275.0*GeV, 180.0*GeV, 175.0*GeV], [275.0*GeV, 175.0*GeV]], 22.1038905199*pb],
[[[300.0*GeV, 5.0*GeV, 0.0*GeV], [300.0*GeV, 0.0*GeV]], 0.839641537332*pb],
[[[300.0*GeV, 30.0*GeV, 25.0*GeV], [300.0*GeV, 25.0*GeV]], 0.983149383569*pb],
[[[300.0*GeV, 55.0*GeV, 50.0*GeV], [300.0*GeV, 50.0*GeV]], 1.4882211395*pb],
[[[300.0*GeV, 80.0*GeV, 75.0*GeV], [300.0*GeV, 75.0*GeV]], 2.50075409199*pb],
[[[300.0*GeV, 105.0*GeV, 100.0*GeV], [300.0*GeV, 100.0*GeV]], 4.02921736174*pb],
[[[300.0*GeV, 130.0*GeV, 125.0*GeV], [300.0*GeV, 125.0*GeV]], 6.31068521236*pb],
[[[300.0*GeV, 155.0*GeV, 150.0*GeV], [300.0*GeV, 150.0*GeV]], 9.39983821214*pb],
[[[300.0*GeV, 180.0*GeV, 175.0*GeV], [300.0*GeV, 175.0*GeV]], 12.4358757888*pb],
[[[300.0*GeV, 205.0*GeV, 200.0*GeV], [300.0*GeV, 200.0*GeV]], 15.269096156*pb],
[[[325.0*GeV, 5.0*GeV, 0.0*GeV], [325.0*GeV, 0.0*GeV]], 0.437955088941*pb],
[[[325.0*GeV, 30.0*GeV, 25.0*GeV], [325.0*GeV, 25.0*GeV]], 0.490082281896*pb],
[[[325.0*GeV, 55.0*GeV, 50.0*GeV], [325.0*GeV, 50.0*GeV]], 0.732511075802*pb],
[[[325.0*GeV, 80.0*GeV, 75.0*GeV], [325.0*GeV, 75.0*GeV]], 1.19102024875*pb],
[[[325.0*GeV, 105.0*GeV, 100.0*GeV], [325.0*GeV, 100.0*GeV]], 1.9612068986*pb],
[[[325.0*GeV, 130.0*GeV, 125.0*GeV], [325.0*GeV, 125.0*GeV]], 3.1707341804*pb],
[[[325.0*GeV, 155.0*GeV, 150.0*GeV], [325.0*GeV, 150.0*GeV]], 4.92598825189*pb],
[[[325.0*GeV, 180.0*GeV, 175.0*GeV], [325.0*GeV, 175.0*GeV]], 6.77771677569*pb],
[[[325.0*GeV, 205.0*GeV, 200.0*GeV], [325.0*GeV, 200.0*GeV]], 8.89921492069*pb],
[[[325.0*GeV, 230.0*GeV, 225.0*GeV], [325.0*GeV, 225.0*GeV]], 11.3359925039*pb],
[[[350.0*GeV, 5.0*GeV, 0.0*GeV], [350.0*GeV, 0.0*GeV]], 0.250990584227*pb],
[[[350.0*GeV, 30.0*GeV, 25.0*GeV], [350.0*GeV, 25.0*GeV]], 0.275540167385*pb],
[[[350.0*GeV, 55.0*GeV, 50.0*GeV], [350.0*GeV, 50.0*GeV]], 0.385669359561*pb],
[[[350.0*GeV, 80.0*GeV, 75.0*GeV], [350.0*GeV, 75.0*GeV]], 0.611417194087*pb],
[[[350.0*GeV, 105.0*GeV, 100.0*GeV], [350.0*GeV, 100.0*GeV]], 0.989274875187*pb],
[[[350.0*GeV, 130.0*GeV, 125.0*GeV], [350.0*GeV, 125.0*GeV]], 1.58776160668*pb],
[[[350.0*GeV, 155.0*GeV, 150.0*GeV], [350.0*GeV, 150.0*GeV]], 2.45825806589*pb],
[[[350.0*GeV, 180.0*GeV, 175.0*GeV], [350.0*GeV, 175.0*GeV]], 3.57230446034*pb],
[[[350.0*GeV, 205.0*GeV, 200.0*GeV], [350.0*GeV, 200.0*GeV]], 4.99885974172*pb],
[[[350.0*GeV, 230.0*GeV, 225.0*GeV], [350.0*GeV, 225.0*GeV]], 6.87035029807*pb],
[[[350.0*GeV, 255.0*GeV, 250.0*GeV], [350.0*GeV, 250.0*GeV]], 9.12509201914*pb],
[[[375.0*GeV, 5.0*GeV, 0.0*GeV], [375.0*GeV, 0.0*GeV]], 0.15689213473*pb],
[[[375.0*GeV, 30.0*GeV, 25.0*GeV], [375.0*GeV, 25.0*GeV]], 0.16854004305*pb],
[[[375.0*GeV, 55.0*GeV, 50.0*GeV], [375.0*GeV, 50.0*GeV]], 0.226887267937*pb],
[[[375.0*GeV, 80.0*GeV, 75.0*GeV], [375.0*GeV, 75.0*GeV]], 0.338035354356*pb],
[[[375.0*GeV, 105.0*GeV, 100.0*GeV], [375.0*GeV, 100.0*GeV]], 0.520675658662*pb],
[[[375.0*GeV, 130.0*GeV, 125.0*GeV], [375.0*GeV, 125.0*GeV]], 0.806648290087*pb],
[[[375.0*GeV, 155.0*GeV, 150.0*GeV], [375.0*GeV, 150.0*GeV]], 1.24832140467*pb],
[[[375.0*GeV, 180.0*GeV, 175.0*GeV], [375.0*GeV, 175.0*GeV]], 1.83899699892*pb],
[[[375.0*GeV, 205.0*GeV, 200.0*GeV], [375.0*GeV, 200.0*GeV]], 2.70015932237*pb],
[[[375.0*GeV, 230.0*GeV, 225.0*GeV], [375.0*GeV, 225.0*GeV]], 3.94218610294*pb],
[[[375.0*GeV, 255.0*GeV, 250.0*GeV], [375.0*GeV, 250.0*GeV]], 5.64785511165*pb],
[[[375.0*GeV, 280.0*GeV, 275.0*GeV], [375.0*GeV, 275.0*GeV]], 7.21948931436*pb],
[[[400.0*GeV, 5.0*GeV, 0.0*GeV], [400.0*GeV, 0.0*GeV]], 0.105857903897*pb],
[[[400.0*GeV, 30.0*GeV, 25.0*GeV], [400.0*GeV, 25.0*GeV]], 0.114077099751*pb],
[[[400.0*GeV, 55.0*GeV, 50.0*GeV], [400.0*GeV, 50.0*GeV]], 0.14350351238*pb],
[[[400.0*GeV, 80.0*GeV, 75.0*GeV], [400.0*GeV, 75.0*GeV]], 0.200006679168*pb],
[[[400.0*GeV, 105.0*GeV, 100.0*GeV], [400.0*GeV, 100.0*GeV]], 0.286955015233*pb],
[[[400.0*GeV, 130.0*GeV, 125.0*GeV], [400.0*GeV, 125.0*GeV]], 0.416589474372*pb],
[[[400.0*GeV, 155.0*GeV, 150.0*GeV], [400.0*GeV, 150.0*GeV]], 0.608138394402*pb],
[[[400.0*GeV, 180.0*GeV, 175.0*GeV], [400.0*GeV, 175.0*GeV]], 0.92751526233*pb],
[[[400.0*GeV, 205.0*GeV, 200.0*GeV], [400.0*GeV, 200.0*GeV]], 1.41348620254*pb],
[[[400.0*GeV, 230.0*GeV, 225.0*GeV], [400.0*GeV, 225.0*GeV]], 2.13264833117*pb],
[[[400.0*GeV, 255.0*GeV, 250.0*GeV], [400.0*GeV, 250.0*GeV]], 3.11249508053*pb],
[[[400.0*GeV, 280.0*GeV, 275.0*GeV], [400.0*GeV, 275.0*GeV]], 4.38846728102*pb],
[[[400.0*GeV, 305.0*GeV, 300.0*GeV], [400.0*GeV, 300.0*GeV]], 5.30724042093*pb],
[[[425.0*GeV, 5.0*GeV, 0.0*GeV], [425.0*GeV, 0.0*GeV]], 0.0750279627326*pb],
[[[425.0*GeV, 30.0*GeV, 25.0*GeV], [425.0*GeV, 25.0*GeV]], 0.0798457795727*pb],
[[[425.0*GeV, 55.0*GeV, 50.0*GeV], [425.0*GeV, 50.0*GeV]], 0.0983237719539*pb],
[[[425.0*GeV, 80.0*GeV, 75.0*GeV], [425.0*GeV, 75.0*GeV]], 0.125850017669*pb],
[[[425.0*GeV, 105.0*GeV, 100.0*GeV], [425.0*GeV, 100.0*GeV]], 0.166267447573*pb],
[[[425.0*GeV, 130.0*GeV, 125.0*GeV], [425.0*GeV, 125.0*GeV]], 0.22448270741*pb],
[[[425.0*GeV, 155.0*GeV, 150.0*GeV], [425.0*GeV, 150.0*GeV]], 0.31582705186*pb],
[[[425.0*GeV, 180.0*GeV, 175.0*GeV], [425.0*GeV, 175.0*GeV]], 0.474166334289*pb],
[[[425.0*GeV, 205.0*GeV, 200.0*GeV], [425.0*GeV, 200.0*GeV]], 0.73524779931*pb],
[[[425.0*GeV, 230.0*GeV, 225.0*GeV], [425.0*GeV, 225.0*GeV]], 1.13565452411*pb],
[[[425.0*GeV, 255.0*GeV, 250.0*GeV], [425.0*GeV, 250.0*GeV]], 1.71283218002*pb],
[[[425.0*GeV, 280.0*GeV, 275.0*GeV], [425.0*GeV, 275.0*GeV]], 2.41545503336*pb],
[[[425.0*GeV, 305.0*GeV, 300.0*GeV], [425.0*GeV, 300.0*GeV]], 3.11573194181*pb],
[[[425.0*GeV, 330.0*GeV, 325.0*GeV], [425.0*GeV, 325.0*GeV]], 3.72831360234*pb],
[[[450.0*GeV, 5.0*GeV, 0.0*GeV], [450.0*GeV, 0.0*GeV]], 0.05531858067*pb],
[[[450.0*GeV, 30.0*GeV, 25.0*GeV], [450.0*GeV, 25.0*GeV]], 0.0581769427459*pb],
[[[450.0*GeV, 55.0*GeV, 50.0*GeV], [450.0*GeV, 50.0*GeV]], 0.0686131167215*pb],
[[[450.0*GeV, 80.0*GeV, 75.0*GeV], [450.0*GeV, 75.0*GeV]], 0.0827884754061*pb],
[[[450.0*GeV, 105.0*GeV, 100.0*GeV], [450.0*GeV, 100.0*GeV]], 0.101499131922*pb],
[[[450.0*GeV, 130.0*GeV, 125.0*GeV], [450.0*GeV, 125.0*GeV]], 0.126909606804*pb],
[[[450.0*GeV, 155.0*GeV, 150.0*GeV], [450.0*GeV, 150.0*GeV]], 0.165395556955*pb],
[[[450.0*GeV, 180.0*GeV, 175.0*GeV], [450.0*GeV, 175.0*GeV]], 0.249282417637*pb],
[[[450.0*GeV, 205.0*GeV, 200.0*GeV], [450.0*GeV, 200.0*GeV]], 0.388673545035*pb],
[[[450.0*GeV, 230.0*GeV, 225.0*GeV], [450.0*GeV, 225.0*GeV]], 0.60616180268*pb],
[[[450.0*GeV, 255.0*GeV, 250.0*GeV], [450.0*GeV, 250.0*GeV]], 0.921635613294*pb],
[[[450.0*GeV, 280.0*GeV, 275.0*GeV], [450.0*GeV, 275.0*GeV]], 1.32892003759*pb],
[[[450.0*GeV, 305.0*GeV, 300.0*GeV], [450.0*GeV, 300.0*GeV]], 1.80142694995*pb],
[[[450.0*GeV, 330.0*GeV, 325.0*GeV], [450.0*GeV, 325.0*GeV]], 2.30497355787*pb],
[[[450.0*GeV, 355.0*GeV, 350.0*GeV], [450.0*GeV, 350.0*GeV]], 2.79034130696*pb],
[[[475.0*GeV, 5.0*GeV, 0.0*GeV], [475.0*GeV, 0.0*GeV]], 0.0422519137596*pb],
[[[475.0*GeV, 30.0*GeV, 25.0*GeV], [475.0*GeV, 25.0*GeV]], 0.0438312548843*pb],
[[[475.0*GeV, 55.0*GeV, 50.0*GeV], [475.0*GeV, 50.0*GeV]], 0.0500440716602*pb],
[[[475.0*GeV, 80.0*GeV, 75.0*GeV], [475.0*GeV, 75.0*GeV]], 0.0570880973748*pb],
[[[475.0*GeV, 105.0*GeV, 100.0*GeV], [475.0*GeV, 100.0*GeV]], 0.0656885876442*pb],
[[[475.0*GeV, 130.0*GeV, 125.0*GeV], [475.0*GeV, 125.0*GeV]], 0.0771627508404*pb],
