txName: T6bbWW
conditionDescription: None
condition: None
constraint: [[['b'],['W']],[['b'],['W']]]
dataUrl: https://twiki.cern.ch/twiki/bin/view/CMSPublic/PhysicsResultsSUS13013
validated: None
axes: 2*Eq(mother,x)_Eq(inter0,y)_Eq(lsp,50);2*Eq(mother,x)_Eq(inter0,2.0*y)_Eq(lsp,y);2*Eq(mother,x)_Eq(inter0,1.25*y)_Eq(lsp,y)
publishedData: True
upperLimits: [[[[325.0*GeV, 150.0*GeV, 50*GeV], [325.0*GeV, 150.0*GeV, 50*GeV]], 0.145311*pb],
[[[650.0*GeV, 312.5*GeV, 250.0*GeV], [650.0*GeV, 312.5*GeV, 250.0*GeV]], 0.0512851*pb],
[[[650.0*GeV, 343.75*GeV, 275.0*GeV], [650.0*GeV, 343.75*GeV, 275.0*GeV]], 0.0554889*pb],
[[[650.0*GeV, 375.0*GeV, 300.0*GeV], [650.0*GeV, 375.0*GeV, 300.0*GeV]], 0.0553792*pb],
[[[650.0*GeV, 406.25*GeV, 325.0*GeV], [650.0*GeV, 406.25*GeV, 325.0*GeV]], 0.0614848*pb],
[[[650.0*GeV, 437.5*GeV, 350.0*GeV], [650.0*GeV, 437.5*GeV, 350.0*GeV]], 0.0784084*pb],
[[[650.0*GeV, 468.75*GeV, 375.0*GeV], [650.0*GeV, 468.75*GeV, 375.0*GeV]], 0.0985351*pb],
[[[650.0*GeV, 500.0*GeV, 400.0*GeV], [650.0*GeV, 500.0*GeV, 400.0*GeV]], 0.147434*pb],
[[[650.0*GeV, 531.25*GeV, 425.0*GeV], [650.0*GeV, 531.25*GeV, 425.0*GeV]], 0.29388*pb],
[[[675.0*GeV, 93.75*GeV, 75.0*GeV], [675.0*GeV, 93.75*GeV, 75.0*GeV]], 0.0482664*pb],
[[[675.0*GeV, 125.0*GeV, 100.0*GeV], [675.0*GeV, 125.0*GeV, 100.0*GeV]], 0.0504286*pb],
[[[675.0*GeV, 156.25*GeV, 125.0*GeV], [675.0*GeV, 156.25*GeV, 125.0*GeV]], 0.0487041*pb],
[[[675.0*GeV, 187.5*GeV, 150.0*GeV], [675.0*GeV, 187.5*GeV, 150.0*GeV]], 0.045465*pb],
[[[675.0*GeV, 218.75*GeV, 175.0*GeV], [675.0*GeV, 218.75*GeV, 175.0*GeV]], 0.0480096*pb],
[[[675.0*GeV, 250.0*GeV, 200.0*GeV], [675.0*GeV, 250.0*GeV, 200.0*GeV]], 0.0460743*pb],
[[[675.0*GeV, 281.25*GeV, 225.0*GeV], [675.0*GeV, 281.25*GeV, 225.0*GeV]], 0.0464037*pb],
[[[675.0*GeV, 312.5*GeV, 250.0*GeV], [675.0*GeV, 312.5*GeV, 250.0*GeV]], 0.0462471*pb],
[[[675.0*GeV, 343.75*GeV, 275.0*GeV], [675.0*GeV, 343.75*GeV, 275.0*GeV]], 0.0463318*pb],
[[[675.0*GeV, 375.0*GeV, 300.0*GeV], [675.0*GeV, 375.0*GeV, 300.0*GeV]], 0.0507338*pb],
[[[675.0*GeV, 406.25*GeV, 325.0*GeV], [675.0*GeV, 406.25*GeV, 325.0*GeV]], 0.0538915*pb],
[[[675.0*GeV, 437.5*GeV, 350.0*GeV], [675.0*GeV, 437.5*GeV, 350.0*GeV]], 0.0643735*pb],
[[[675.0*GeV, 468.75*GeV, 375.0*GeV], [675.0*GeV, 468.75*GeV, 375.0*GeV]], 0.0694842*pb],
[[[675.0*GeV, 500.0*GeV, 400.0*GeV], [675.0*GeV, 500.0*GeV, 400.0*GeV]], 0.104953*pb],
[[[675.0*GeV, 531.25*GeV, 425.0*GeV], [675.0*GeV, 531.25*GeV, 425.0*GeV]], 0.168458*pb],
[[[675.0*GeV, 562.5*GeV, 450.0*GeV], [675.0*GeV, 562.5*GeV, 450.0*GeV]], 0.34893*pb]]
expectedUpperLimits: [[[[325.0*GeV, 150.0*GeV, 50*GeV], [325.0*GeV, 150.0*GeV, 50*GeV]], 0.138853*pb],
[[[350.0*GeV, 150.0*GeV, 50*GeV], [350.0*GeV, 150.0*GeV, 50*GeV]], 0.116451*pb],
[[[350.0*GeV, 175.0*GeV, 50*GeV], [350.0*GeV, 175.0*GeV, 50*GeV]], 0.121559*pb],
[[[375.0*GeV, 150.0*GeV, 50*GeV], [375.0*GeV, 150.0*GeV, 50*GeV]], 0.0926744*pb],
[[[375.0*GeV, 175.0*GeV, 50*GeV], [375.0*GeV, 175.0*GeV, 50*GeV]], 0.0969022*pb],
[[[375.0*GeV, 200.0*GeV, 50*GeV], [375.0*GeV, 200.0*GeV, 50*GeV]], 0.101448*pb],
[[[400.0*GeV, 150.0*GeV, 50*GeV], [400.0*GeV, 150.0*GeV, 50*GeV]], 0.0790526*pb],
[[[400.0*GeV, 175.0*GeV, 50*GeV], [400.0*GeV, 175.0*GeV, 50*GeV]], 0.0836238*pb],
[[[400.0*GeV, 200.0*GeV, 50*GeV], [400.0*GeV, 200.0*GeV, 50*GeV]], 0.0834924*pb],
[[[400.0*GeV, 225.0*GeV, 50*GeV], [400.0*GeV, 225.0*GeV, 50*GeV]], 0.0899228*pb],
[[[425.0*GeV, 150.0*GeV, 50*GeV], [425.0*GeV, 150.0*GeV, 50*GeV]], 0.0671782*pb],
[[[425.0*GeV, 175.0*GeV, 50*GeV], [425.0*GeV, 175.0*GeV, 50*GeV]], 0.0671555*pb],
[[[425.0*GeV, 200.0*GeV, 50*GeV], [425.0*GeV, 200.0*GeV, 50*GeV]], 0.0690548*pb],
[[[425.0*GeV, 225.0*GeV, 50*GeV], [425.0*GeV, 225.0*GeV, 50*GeV]], 0.0706282*pb],
[[[425.0*GeV, 250.0*GeV, 50*GeV], [425.0*GeV, 250.0*GeV, 50*GeV]], 0.0783721*pb],
[[[450.0*GeV, 150.0*GeV, 50*GeV], [450.0*GeV, 150.0*GeV, 50*GeV]], 0.0568227*pb],
[[[450.0*GeV, 175.0*GeV, 50*GeV], [450.0*GeV, 175.0*GeV, 50*GeV]], 0.0592601*pb],
[[[450.0*GeV, 200.0*GeV, 50*GeV], [450.0*GeV, 200.0*GeV, 50*GeV]], 0.0608406*pb],
[[[450.0*GeV, 225.0*GeV, 50*GeV], [450.0*GeV, 225.0*GeV, 50*GeV]], 0.0604002*pb],
[[[450.0*GeV, 250.0*GeV, 50*GeV], [450.0*GeV, 250.0*GeV, 50*GeV]], 0.0654626*pb],
[[[450.0*GeV, 275.0*GeV, 50*GeV], [450.0*GeV, 275.0*GeV, 50*GeV]], 0.0658018*pb],
[[[475.0*GeV, 150.0*GeV, 50*GeV], [475.0*GeV, 150.0*GeV, 50*GeV]], 0.0522261*pb],
[[[475.0*GeV, 175.0*GeV, 50*GeV], [475.0*GeV, 175.0*GeV, 50*GeV]], 0.049429*pb],
[[[475.0*GeV, 200.0*GeV, 50*GeV], [475.0*GeV, 200.0*GeV, 50*GeV]], 0.0508631*pb],
[[[475.0*GeV, 225.0*GeV, 50*GeV], [475.0*GeV, 225.0*GeV, 50*GeV]], 0.0518098*pb],
[[[475.0*GeV, 250.0*GeV, 50*GeV], [475.0*GeV, 250.0*GeV, 50*GeV]], 0.0566391*pb],
[[[475.0*GeV, 275.0*GeV, 50*GeV], [475.0*GeV, 275.0*GeV, 50*GeV]], 0.0568912*pb],
[[[475.0*GeV, 300.0*GeV, 50*GeV], [475.0*GeV, 300.0*GeV, 50*GeV]], 0.0566667*pb],
[[[500.0*GeV, 150.0*GeV, 50*GeV], [500.0*GeV, 150.0*GeV, 50*GeV]], 0.0457904*pb],
[[[500.0*GeV, 175.0*GeV, 50*GeV], [500.0*GeV, 175.0*GeV, 50*GeV]], 0.0456833*pb],
[[[500.0*GeV, 200.0*GeV, 50*GeV], [500.0*GeV, 200.0*GeV, 50*GeV]], 0.0489374*pb],
[[[500.0*GeV, 225.0*GeV, 50*GeV], [500.0*GeV, 225.0*GeV, 50*GeV]], 0.0445992*pb],
[[[500.0*GeV, 250.0*GeV, 50*GeV], [500.0*GeV, 250.0*GeV, 50*GeV]], 0.047457*pb],
[[[500.0*GeV, 275.0*GeV, 50*GeV], [500.0*GeV, 275.0*GeV, 50*GeV]], 0.0498422*pb],
[[[500.0*GeV, 300.0*GeV, 50*GeV], [500.0*GeV, 300.0*GeV, 50*GeV]], 0.0526596*pb],
[[[500.0*GeV, 325.0*GeV, 50*GeV], [500.0*GeV, 325.0*GeV, 50*GeV]], 0.0515616*pb],
[[[525.0*GeV, 150.0*GeV, 50*GeV], [525.0*GeV, 150.0*GeV, 50*GeV]], 0.0402323*pb],
[[[525.0*GeV, 175.0*GeV, 50*GeV], [525.0*GeV, 175.0*GeV, 50*GeV]], 0.0401611*pb],
[[[525.0*GeV, 200.0*GeV, 50*GeV], [525.0*GeV, 200.0*GeV, 50*GeV]], 0.0409166*pb],
[[[525.0*GeV, 225.0*GeV, 50*GeV], [525.0*GeV, 225.0*GeV, 50*GeV]], 0.0434783*pb],
[[[525.0*GeV, 250.0*GeV, 50*GeV], [525.0*GeV, 250.0*GeV, 50*GeV]], 0.0437411*pb],
[[[525.0*GeV, 275.0*GeV, 50*GeV], [525.0*GeV, 275.0*GeV, 50*GeV]], 0.0445486*pb],
[[[525.0*GeV, 300.0*GeV, 50*GeV], [525.0*GeV, 300.0*GeV, 50*GeV]], 0.0442761*pb],
[[[525.0*GeV, 325.0*GeV, 50*GeV], [525.0*GeV, 325.0*GeV, 50*GeV]], 0.0470827*pb],
[[[525.0*GeV, 350.0*GeV, 50*GeV], [525.0*GeV, 350.0*GeV, 50*GeV]], 0.0480848*pb],
[[[550.0*GeV, 150.0*GeV, 50*GeV], [550.0*GeV, 150.0*GeV, 50*GeV]], 0.0371393*pb],
[[[550.0*GeV, 175.0*GeV, 50*GeV], [550.0*GeV, 175.0*GeV, 50*GeV]], 0.0383059*pb],
[[[550.0*GeV, 200.0*GeV, 50*GeV], [550.0*GeV, 200.0*GeV, 50*GeV]], 0.0386405*pb],
[[[550.0*GeV, 225.0*GeV, 50*GeV], [550.0*GeV, 225.0*GeV, 50*GeV]], 0.0385084*pb],
[[[550.0*GeV, 250.0*GeV, 50*GeV], [550.0*GeV, 250.0*GeV, 50*GeV]], 0.0386954*pb],
[[[550.0*GeV, 275.0*GeV, 50*GeV], [550.0*GeV, 275.0*GeV, 50*GeV]], 0.0400645*pb],
[[[550.0*GeV, 300.0*GeV, 50*GeV], [550.0*GeV, 300.0*GeV, 50*GeV]], 0.0422589*pb],
[[[550.0*GeV, 325.0*GeV, 50*GeV], [550.0*GeV, 325.0*GeV, 50*GeV]], 0.0412323*pb],
[[[550.0*GeV, 350.0*GeV, 50*GeV], [550.0*GeV, 350.0*GeV, 50*GeV]], 0.0430757*pb],
[[[550.0*GeV, 375.0*GeV, 50*GeV], [550.0*GeV, 375.0*GeV, 50*GeV]], 0.0461507*pb],
[[[575.0*GeV, 150.0*GeV, 50*GeV], [575.0*GeV, 150.0*GeV, 50*GeV]], 0.0348656*pb],
[[[575.0*GeV, 175.0*GeV, 50*GeV], [575.0*GeV, 175.0*GeV, 50*GeV]], 0.0354459*pb],
[[[575.0*GeV, 200.0*GeV, 50*GeV], [575.0*GeV, 200.0*GeV, 50*GeV]], 0.0341318*pb],
[[[575.0*GeV, 225.0*GeV, 50*GeV], [575.0*GeV, 225.0*GeV, 50*GeV]], 0.0361272*pb],
[[[575.0*GeV, 250.0*GeV, 50*GeV], [575.0*GeV, 250.0*GeV, 50*GeV]], 0.0347574*pb],
[[[575.0*GeV, 275.0*GeV, 50*GeV], [575.0*GeV, 275.0*GeV, 50*GeV]], 0.0357129*pb],
[[[575.0*GeV, 300.0*GeV, 50*GeV], [575.0*GeV, 300.0*GeV, 50*GeV]], 0.0367031*pb],
[[[575.0*GeV, 325.0*GeV, 50*GeV], [575.0*GeV, 325.0*GeV, 50*GeV]], 0.0384421*pb],
[[[575.0*GeV, 350.0*GeV, 50*GeV], [575.0*GeV, 350.0*GeV, 50*GeV]], 0.0401284*pb],
[[[575.0*GeV, 375.0*GeV, 50*GeV], [575.0*GeV, 375.0*GeV, 50*GeV]], 0.0399437*pb],
[[[575.0*GeV, 400.0*GeV, 50*GeV], [575.0*GeV, 400.0*GeV, 50*GeV]], 0.0423499*pb],
[[[600.0*GeV, 150.0*GeV, 50*GeV], [600.0*GeV, 150.0*GeV, 50*GeV]], 0.031422*pb],
[[[600.0*GeV, 175.0*GeV, 50*GeV], [600.0*GeV, 175.0*GeV, 50*GeV]], 0.0316949*pb],
[[[600.0*GeV, 200.0*GeV, 50*GeV], [600.0*GeV, 200.0*GeV, 50*GeV]], 0.0317594*pb],
[[[600.0*GeV, 225.0*GeV, 50*GeV], [600.0*GeV, 225.0*GeV, 50*GeV]], 0.0326797*pb],
[[[600.0*GeV, 250.0*GeV, 50*GeV], [600.0*GeV, 250.0*GeV, 50*GeV]], 0.0343091*pb],
[[[600.0*GeV, 275.0*GeV, 50*GeV], [600.0*GeV, 275.0*GeV, 50*GeV]], 0.0339515*pb],
[[[600.0*GeV, 300.0*GeV, 50*GeV], [600.0*GeV, 300.0*GeV, 50*GeV]], 0.0331575*pb],
[[[600.0*GeV, 325.0*GeV, 50*GeV], [600.0*GeV, 325.0*GeV, 50*GeV]], 0.0339576*pb],
[[[600.0*GeV, 350.0*GeV, 50*GeV], [600.0*GeV, 350.0*GeV, 50*GeV]], 0.0460959*pb],
[[[600.0*GeV, 375.0*GeV, 50*GeV], [600.0*GeV, 375.0*GeV, 50*GeV]], 0.0360831*pb],
[[[600.0*GeV, 400.0*GeV, 50*GeV], [600.0*GeV, 400.0*GeV, 50*GeV]], 0.0393981*pb],
[[[600.0*GeV, 425.0*GeV, 50*GeV], [600.0*GeV, 425.0*GeV, 50*GeV]], 0.0422337*pb],
[[[625.0*GeV, 150.0*GeV, 50*GeV], [625.0*GeV, 150.0*GeV, 50*GeV]], 0.0307114*pb],
[[[625.0*GeV, 175.0*GeV, 50*GeV], [625.0*GeV, 175.0*GeV, 50*GeV]], 0.0297508*pb],
[[[625.0*GeV, 200.0*GeV, 50*GeV], [625.0*GeV, 200.0*GeV, 50*GeV]], 0.0299417*pb],
[[[625.0*GeV, 225.0*GeV, 50*GeV], [625.0*GeV, 225.0*GeV, 50*GeV]], 0.0314405*pb],
[[[625.0*GeV, 250.0*GeV, 50*GeV], [625.0*GeV, 250.0*GeV, 50*GeV]], 0.0314304*pb],
[[[625.0*GeV, 275.0*GeV, 50*GeV], [625.0*GeV, 275.0*GeV, 50*GeV]], 0.0313314*pb],
[[[625.0*GeV, 300.0*GeV, 50*GeV], [625.0*GeV, 300.0*GeV, 50*GeV]], 0.0332403*pb],
[[[625.0*GeV, 325.0*GeV, 50*GeV], [625.0*GeV, 325.0*GeV, 50*GeV]], 0.0319054*pb],
[[[625.0*GeV, 350.0*GeV, 50*GeV], [625.0*GeV, 350.0*GeV, 50*GeV]], 0.032658*pb],
[[[625.0*GeV, 375.0*GeV, 50*GeV], [625.0*GeV, 375.0*GeV, 50*GeV]], 0.0335632*pb],
[[[625.0*GeV, 400.0*GeV, 50*GeV], [625.0*GeV, 400.0*GeV, 50*GeV]], 0.0343227*pb],
[[[625.0*GeV, 425.0*GeV, 50*GeV], [625.0*GeV, 425.0*GeV, 50*GeV]], 0.036959*pb],
[[[625.0*GeV, 450.0*GeV, 50*GeV], [625.0*GeV, 450.0*GeV, 50*GeV]], 0.0383398*pb],
[[[650.0*GeV, 150.0*GeV, 50*GeV], [650.0*GeV, 150.0*GeV, 50*GeV]], 0.029732*pb],
[[[650.0*GeV, 175.0*GeV, 50*GeV], [650.0*GeV, 175.0*GeV, 50*GeV]], 0.0283808*pb],
[[[650.0*GeV, 200.0*GeV, 50*GeV], [650.0*GeV, 200.0*GeV, 50*GeV]], 0.0294992*pb],
[[[650.0*GeV, 225.0*GeV, 50*GeV], [650.0*GeV, 225.0*GeV, 50*GeV]], 0.0286519*pb],
[[[650.0*GeV, 250.0*GeV, 50*GeV], [650.0*GeV, 250.0*GeV, 50*GeV]], 0.0298267*pb],
[[[650.0*GeV, 275.0*GeV, 50*GeV], [650.0*GeV, 275.0*GeV, 50*GeV]], 0.0298089*pb],
[[[650.0*GeV, 300.0*GeV, 50*GeV], [650.0*GeV, 300.0*GeV, 50*GeV]], 0.0293803*pb],
[[[650.0*GeV, 325.0*GeV, 50*GeV], [650.0*GeV, 325.0*GeV, 50*GeV]], 0.0288922*pb],
[[[650.0*GeV, 350.0*GeV, 50*GeV], [650.0*GeV, 350.0*GeV, 50*GeV]], 0.0311445*pb],
[[[650.0*GeV, 375.0*GeV, 50*GeV], [650.0*GeV, 375.0*GeV, 50*GeV]], 0.0314381*pb],
[[[650.0*GeV, 400.0*GeV, 50*GeV], [650.0*GeV, 400.0*GeV, 50*GeV]], 0.0315344*pb],
[[[650.0*GeV, 425.0*GeV, 50*GeV], [650.0*GeV, 425.0*GeV, 50*GeV]], 0.0331314*pb],
[[[650.0*GeV, 450.0*GeV, 50*GeV], [650.0*GeV, 450.0*GeV, 50*GeV]], 0.0350064*pb],
[[[650.0*GeV, 475.0*GeV, 50*GeV], [650.0*GeV, 475.0*GeV, 50*GeV]], 0.0364325*pb],
[[[675.0*GeV, 150.0*GeV, 50*GeV], [675.0*GeV, 150.0*GeV, 50*GeV]], 0.0262797*pb],
[[[675.0*GeV, 175.0*GeV, 50*GeV], [675.0*GeV, 175.0*GeV, 50*GeV]], 0.0282469*pb],
[[[675.0*GeV, 200.0*GeV, 50*GeV], [675.0*GeV, 200.0*GeV, 50*GeV]], 0.0276294*pb],
[[[675.0*GeV, 225.0*GeV, 50*GeV], [675.0*GeV, 225.0*GeV, 50*GeV]], 0.0283712*pb],
[[[675.0*GeV, 250.0*GeV, 50*GeV], [675.0*GeV, 250.0*GeV, 50*GeV]], 0.0281409*pb],
[[[675.0*GeV, 275.0*GeV, 50*GeV], [675.0*GeV, 275.0*GeV, 50*GeV]], 0.0285383*pb],
[[[675.0*GeV, 300.0*GeV, 50*GeV], [675.0*GeV, 300.0*GeV, 50*GeV]], 0.0276752*pb],
[[[675.0*GeV, 325.0*GeV, 50*GeV], [675.0*GeV, 325.0*GeV, 50*GeV]], 0.0289474*pb],
[[[675.0*GeV, 350.0*GeV, 50*GeV], [675.0*GeV, 350.0*GeV, 50*GeV]], 0.0290575*pb],
[[[675.0*GeV, 375.0*GeV, 50*GeV], [675.0*GeV, 375.0*GeV, 50*GeV]], 0.029334*pb],
[[[675.0*GeV, 400.0*GeV, 50*GeV], [675.0*GeV, 400.0*GeV, 50*GeV]], 0.0289406*pb],
[[[675.0*GeV, 425.0*GeV, 50*GeV], [675.0*GeV, 425.0*GeV, 50*GeV]], 0.029538*pb],
[[[675.0*GeV, 450.0*GeV, 50*GeV], [675.0*GeV, 450.0*GeV, 50*GeV]], 0.0327869*pb],
[[[675.0*GeV, 475.0*GeV, 50*GeV], [675.0*GeV, 475.0*GeV, 50*GeV]], 0.0338887*pb],
[[[675.0*GeV, 500.0*GeV, 50*GeV], [675.0*GeV, 500.0*GeV, 50*GeV]], 0.0364265*pb],
[[[300.0*GeV, 50.0*GeV, 25.0*GeV], [300.0*GeV, 50.0*GeV, 25.0*GeV]], 0.306652*pb],
[[[300.0*GeV, 100.0*GeV, 50.0*GeV], [300.0*GeV, 100.0*GeV, 50.0*GeV]], 0.306884*pb],
[[[300.0*GeV, 150.0*GeV, 75.0*GeV], [300.0*GeV, 150.0*GeV, 75.0*GeV]], 0.389687*pb],
[[[300.0*GeV, 200.0*GeV, 100.0*GeV], [300.0*GeV, 200.0*GeV, 100.0*GeV]], 0.804791*pb],
[[[325.0*GeV, 50.0*GeV, 25.0*GeV], [325.0*GeV, 50.0*GeV, 25.0*GeV]], 0.211888*pb],
[[[325.0*GeV, 100.0*GeV, 50.0*GeV], [325.0*GeV, 100.0*GeV, 50.0*GeV]], 0.230274*pb],
[[[325.0*GeV, 150.0*GeV, 75.0*GeV], [325.0*GeV, 150.0*GeV, 75.0*GeV]], 0.20687*pb],
[[[325.0*GeV, 200.0*GeV, 100.0*GeV], [325.0*GeV, 200.0*GeV, 100.0*GeV]], 0.498676*pb],
[[[350.0*GeV, 50.0*GeV, 25.0*GeV], [350.0*GeV, 50.0*GeV, 25.0*GeV]], 0.164405*pb],
[[[350.0*GeV, 100.0*GeV, 50.0*GeV], [350.0*GeV, 100.0*GeV, 50.0*GeV]], 0.172399*pb],
[[[350.0*GeV, 150.0*GeV, 75.0*GeV], [350.0*GeV, 150.0*GeV, 75.0*GeV]], 0.152103*pb],
[[[350.0*GeV, 200.0*GeV, 100.0*GeV], [350.0*GeV, 200.0*GeV, 100.0*GeV]], 0.269597*pb],
[[[350.0*GeV, 250.0*GeV, 125.0*GeV], [350.0*GeV, 250.0*GeV, 125.0*GeV]], 0.689081*pb],
[[[375.0*GeV, 50.0*GeV, 25.0*GeV], [375.0*GeV, 50.0*GeV, 25.0*GeV]], 0.122432*pb],
[[[375.0*GeV, 100.0*GeV, 50.0*GeV], [375.0*GeV, 100.0*GeV, 50.0*GeV]], 0.132924*pb],
[[[375.0*GeV, 150.0*GeV, 75.0*GeV], [375.0*GeV, 150.0*GeV, 75.0*GeV]], 0.132255*pb],
[[[375.0*GeV, 200.0*GeV, 100.0*GeV], [375.0*GeV, 200.0*GeV, 100.0*GeV]], 0.126926*pb],
[[[375.0*GeV, 250.0*GeV, 125.0*GeV], [375.0*GeV, 250.0*GeV, 125.0*GeV]], 0.335207*pb],
[[[400.0*GeV, 50.0*GeV, 25.0*GeV], [400.0*GeV, 50.0*GeV, 25.0*GeV]], 0.103949*pb],
[[[400.0*GeV, 100.0*GeV, 50.0*GeV], [400.0*GeV, 100.0*GeV, 50.0*GeV]], 0.107233*pb],
[[[400.0*GeV, 150.0*GeV, 75.0*GeV], [400.0*GeV, 150.0*GeV, 75.0*GeV]], 0.107148*pb],
[[[400.0*GeV, 200.0*GeV, 100.0*GeV], [400.0*GeV, 200.0*GeV, 100.0*GeV]], 0.114065*pb],
[[[400.0*GeV, 250.0*GeV, 125.0*GeV], [400.0*GeV, 250.0*GeV, 125.0*GeV]], 0.185582*pb],
[[[400.0*GeV, 300.0*GeV, 150.0*GeV], [400.0*GeV, 300.0*GeV, 150.0*GeV]], 0.458665*pb],
[[[425.0*GeV, 50.0*GeV, 25.0*GeV], [425.0*GeV, 50.0*GeV, 25.0*GeV]], 0.0861635*pb],
[[[425.0*GeV, 100.0*GeV, 50.0*GeV], [425.0*GeV, 100.0*GeV, 50.0*GeV]], 0.0936958*pb],
[[[425.0*GeV, 150.0*GeV, 75.0*GeV], [425.0*GeV, 150.0*GeV, 75.0*GeV]], 0.0873514*pb],
[[[425.0*GeV, 200.0*GeV, 100.0*GeV], [425.0*GeV, 200.0*GeV, 100.0*GeV]], 0.0897213*pb],
[[[425.0*GeV, 250.0*GeV, 125.0*GeV], [425.0*GeV, 250.0*GeV, 125.0*GeV]], 0.102865*pb],
[[[425.0*GeV, 300.0*GeV, 150.0*GeV], [425.0*GeV, 300.0*GeV, 150.0*GeV]], 0.254291*pb],
[[[450.0*GeV, 50.0*GeV, 25.0*GeV], [450.0*GeV, 50.0*GeV, 25.0*GeV]], 0.0723227*pb],
[[[450.0*GeV, 100.0*GeV, 50.0*GeV], [450.0*GeV, 100.0*GeV, 50.0*GeV]], 0.0809827*pb],
[[[450.0*GeV, 150.0*GeV, 75.0*GeV], [450.0*GeV, 150.0*GeV, 75.0*GeV]], 0.0721867*pb],
[[[450.0*GeV, 200.0*GeV, 100.0*GeV], [450.0*GeV, 200.0*GeV, 100.0*GeV]], 0.0756318*pb],
[[[450.0*GeV, 250.0*GeV, 125.0*GeV], [450.0*GeV, 250.0*GeV, 125.0*GeV]], 0.080736*pb],
[[[450.0*GeV, 300.0*GeV, 150.0*GeV], [450.0*GeV, 300.0*GeV, 150.0*GeV]], 0.133959*pb],
[[[450.0*GeV, 350.0*GeV, 175.0*GeV], [450.0*GeV, 350.0*GeV, 175.0*GeV]], 0.262755*pb],
[[[475.0*GeV, 50.0*GeV, 25.0*GeV], [475.0*GeV, 50.0*GeV, 25.0*GeV]], 0.0624286*pb],
[[[475.0*GeV, 100.0*GeV, 50.0*GeV], [475.0*GeV, 100.0*GeV, 50.0*GeV]], 0.0637297*pb],
[[[475.0*GeV, 150.0*GeV, 75.0*GeV], [475.0*GeV, 150.0*GeV, 75.0*GeV]], 0.0635576*pb],
[[[475.0*GeV, 200.0*GeV, 100.0*GeV], [475.0*GeV, 200.0*GeV, 100.0*GeV]], 0.0648018*pb],
[[[475.0*GeV, 250.0*GeV, 125.0*GeV], [475.0*GeV, 250.0*GeV, 125.0*GeV]], 0.0741812*pb],
[[[475.0*GeV, 300.0*GeV, 150.0*GeV], [475.0*GeV, 300.0*GeV, 150.0*GeV]], 0.0828462*pb],
[[[475.0*GeV, 350.0*GeV, 175.0*GeV], [475.0*GeV, 350.0*GeV, 175.0*GeV]], 0.18418*pb],
[[[500.0*GeV, 50.0*GeV, 25.0*GeV], [500.0*GeV, 50.0*GeV, 25.0*GeV]], 0.0542514*pb],
[[[500.0*GeV, 100.0*GeV, 50.0*GeV], [500.0*GeV, 100.0*GeV, 50.0*GeV]], 0.0581358*pb],
[[[500.0*GeV, 150.0*GeV, 75.0*GeV], [500.0*GeV, 150.0*GeV, 75.0*GeV]], 0.0557004*pb],
[[[500.0*GeV, 200.0*GeV, 100.0*GeV], [500.0*GeV, 200.0*GeV, 100.0*GeV]], 0.0535539*pb],
[[[500.0*GeV, 250.0*GeV, 125.0*GeV], [500.0*GeV, 250.0*GeV, 125.0*GeV]], 0.0615042*pb],
[[[500.0*GeV, 300.0*GeV, 150.0*GeV], [500.0*GeV, 300.0*GeV, 150.0*GeV]], 0.0688485*pb],
[[[500.0*GeV, 350.0*GeV, 175.0*GeV], [500.0*GeV, 350.0*GeV, 175.0*GeV]], 0.117563*pb],
[[[500.0*GeV, 400.0*GeV, 200.0*GeV], [500.0*GeV, 400.0*GeV, 200.0*GeV]], 0.157037*pb],
[[[525.0*GeV, 50.0*GeV, 25.0*GeV], [525.0*GeV, 50.0*GeV, 25.0*GeV]], 0.0498461*pb],
[[[525.0*GeV, 100.0*GeV, 50.0*GeV], [525.0*GeV, 100.0*GeV, 50.0*GeV]], 0.052414*pb],
[[[525.0*GeV, 150.0*GeV, 75.0*GeV], [525.0*GeV, 150.0*GeV, 75.0*GeV]], 0.0483114*pb],
[[[525.0*GeV, 200.0*GeV, 100.0*GeV], [525.0*GeV, 200.0*GeV, 100.0*GeV]], 0.0482363*pb],
[[[525.0*GeV, 250.0*GeV, 125.0*GeV], [525.0*GeV, 250.0*GeV, 125.0*GeV]], 0.0530896*pb],
[[[525.0*GeV, 300.0*GeV, 150.0*GeV], [525.0*GeV, 300.0*GeV, 150.0*GeV]], 0.0594511*pb],
[[[525.0*GeV, 350.0*GeV, 175.0*GeV], [525.0*GeV, 350.0*GeV, 175.0*GeV]], 0.0655976*pb],
[[[525.0*GeV, 400.0*GeV, 200.0*GeV], [525.0*GeV, 400.0*GeV, 200.0*GeV]], 0.144285*pb],
[[[550.0*GeV, 50.0*GeV, 25.0*GeV], [550.0*GeV, 50.0*GeV, 25.0*GeV]], 0.0471268*pb],
[[[550.0*GeV, 100.0*GeV, 50.0*GeV], [550.0*GeV, 100.0*GeV, 50.0*GeV]], 0.0485882*pb],
[[[550.0*GeV, 150.0*GeV, 75.0*GeV], [550.0*GeV, 150.0*GeV, 75.0*GeV]], 0.0418407*pb],
[[[550.0*GeV, 200.0*GeV, 100.0*GeV], [550.0*GeV, 200.0*GeV, 100.0*GeV]], 0.0438768*pb],
[[[550.0*GeV, 250.0*GeV, 125.0*GeV], [550.0*GeV, 250.0*GeV, 125.0*GeV]], 0.0477604*pb],
